ProductName,image,link,price,maxretailprice,stars,GlobalRatings,Best Sellers Rank,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,reviewsLink,packageSize,Brand,Item Form,Scent,Special Feature,Material Feature,Number of Items,Net Quantity,Item Volume,Use for,Product Dimensions,Date First Available,Manufacturer,ASIN,Item model number,Country of Origin,Packer,Item Weight,Item Dimensions LxWxH,Included Components,Generic Name,Material Type Free,Is Discontinued By Manufacturer,Importer,Package Dimensions,Item part number
Bombay Shaving Company Black Vibe Deodorant For Men - 150 ML,https://m.media-amazon.com/images/I/51ucq-kbMqL._AC_UL320_.jpg,https://amazon.in/Bombay-Shaving-Company-Black-Deodorant/dp/B0B97SMJ3Z/ref=sr_1_30?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-30,149,355,3.8,"1,502","  #3,610 in Beauty     #157 in Deodorant       #157 in Deodorant",43%,24%,15%,7%,11%,https://amazon.in/Bombay-Shaving-Company-Black-Deodorant/product-reviews/B0B97SMJ3Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Bombay Shaving Company,Liquid,Maine Woodspice,Not available,Not available,1,150.0 millilitre,150 Millilitres,Whole Body,Not available,10 August 2022,"Visage Lines Personal care Private Limited, Visage Lines Personal care Private Limited, 5th floor, Plot no:-272,Udyog Vihar, Phase-II, Gurugram, Haryana - 122008",B0B97SMJ3Z,DEODORANT_BLACK_VIBE_150ML,India,"Visage Lines Personal care Private Limited, 5th floor, Plot no:-272,Udyog Vihar, Phase-II, Gurugram, Haryana - 122008",Not available,15 x 10 x 5 Millimeters,Not available,Deodrant,Not available,Not available,Not available,Not available,Not available
Bella Vita Organic Deo White Deodorant for Men Long Lasting Freshness 50ml Natural Roll On Under Arms Skin Whitening and Lightening for Dark Underarms,https://m.media-amazon.com/images/I/51pjP-e7Q+L._AC_UL320_.jpg,https://amazon.in/Bella-Vita-Organic-Whitening-Lightening/dp/B0845RXZ7N/ref=sr_1_31?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-31,179,199,3.9,"2,825","  #2,082 in Beauty     #3 in Antiperspirant Deodorant   #85 in Deodorant       #3 in Antiperspirant Deodorant #85 in Deodorant",45%,25%,14%,7%,9%,https://amazon.in/Bella-Vita-Organic-Whitening-Lightening/product-reviews/B0845RXZ7N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Bella Vita Organic,Roll-On,Fresh,Organic; Natural Ingredients,Organic,1,75 millilitre,50 Millilitres,Not available,3 x 3 x 12 cm; 50 Grams,23 January 2020,"IDAM Natural Wellness Pvt. Ltd., 417, First Floor, Udyog Vihar Phase 3, Sector 20, Gurugram, 122008 Haryana, India",B0845RXZ7N,BellaMenRollOn,India,IDAM Natural Wellness Pvt. Ltd.,50 g,30 x 30 x 120 Millimeters,Not available,Deowhite Under Arm Skin Whitening & Lightening Natural Roll On Deodorant For Men,Alcohol Free,No,Not available,Not available,Not available
"Rexona Deodorant Roll On Aloe Vera for Women, 50ml",https://m.media-amazon.com/images/I/51MEtlLCF7L._AC_UL320_.jpg,https://amazon.in/Rexona-Aloe-Underarm-Odour-Protection/dp/B018HSHIHY/ref=sr_1_32?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-32,139.,150,4.3,"4,961","  #2,342 in Beauty     #102 in Deodorant       #102 in Deodorant",56%,25%,11%,3%,4%,https://amazon.in/Rexona-Aloe-Underarm-Odour-Protection/product-reviews/B018HSHIHY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Rexona,Balm,Aloe Vera,Not available,Not available,1,50.0 millilitre,50 Millilitres,Not available,11.4 x 4.4 x 4.6 cm; 50 Grams,1 January 2017,"HUL, Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099",B018HSHIHY,23724,India,Not available,50 g,11.4 x 4.4 x 4.6 Centimeters,Not available,Aloe Vera Underarm Roll On Deodorant For Women,Alcohol Free,No,Not available,Not available,Not available
"Fogg Paradise Fragrant Body Spray For Women, Long-Lasting, No Gas, Everyday Deodorant & Spray, 150ml",https://m.media-amazon.com/images/I/61LSmk9q5kL._AC_UL320_.jpg,https://amazon.in/Fogg-Fragrant-Spray-Women-Paradise/dp/B00YEK0E5S/ref=sr_1_33?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-33,192,275,4.2,"10,110",  #415 in Beauty     #15 in Deodorant       #15 in Deodorant,57%,24%,10%,3%,6%,https://amazon.in/Fogg-Fragrant-Spray-Women-Paradise/product-reviews/B00YEK0E5S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,FOGG,Spray,Paradise,"Long Lasting, No Gas",Not available,Not available,150.0 millilitre,150 Millilitres,Not available,4 x 4 x 18 cm; 160 Grams,1 January 2017,"Perfunova International Ltd., Perfunova International Ltd.Survey No. 205/1 & 208/2,Coastal Highway,Village,Bhimpore,Nain Daman-396210 Contact email: dinesh.patwal@vinisales.co.in",B00YEK0E5S,8908001158923,India,"Perfunova International Ltd.Survey No. 205/1 & 208/2,Coastal Highway,Village,Bhimpore,Nain Daman-396210 Contact email: dinesh.patwal@vinisales.co.in",160 g,40 x 40 x 180 Millimeters,1 Deo,Deo,Not available,No,Not available,Not available,Not available
"Nivea Deodorant Roll On, Protect & Care for Unisex, 50ml",https://m.media-amazon.com/images/I/71MZ5n7xU6L._AC_UL320_.jpg,https://amazon.in/Nivea-Protect-Care-Roll-50ml/dp/B01C6Y4IPK/ref=sr_1_34?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-34,169,199,4.3,"4,550",  #461 in Beauty     #18 in Deodorant       #18 in Deodorant,59%,26%,9%,3%,4%,https://amazon.in/Nivea-Protect-Care-Roll-50ml/product-reviews/B01C6Y4IPK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Nivea,Roll on,Protect & care,Not available,Not available,1,1 count,50 Millilitres,Not available,4.1 x 4.1 x 11 cm; 150 Grams,25 February 2016,"Nivea, Beiersdorf (Thailand) Co.Ltd, 163, Bang Plee Industrial Estate, Bangna-Trad Rd, KM 24, Bangsaothong, Samutprakarn 10540, Thailand; Phone: 022 6248 7999",B01C6Y4IPK,4005900253118,India,"Nivea India Pvt. Ltd., 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070; Phone: 022 6248 7999",150 g,41 x 41 x 110 Millimeters,Deodorant Female,Deodorant,Alcohol Free,No,"Nivea India Pvt. Ltd., 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070; Phone: 022 6248 7999",Not available,Not available
"Nivea Deep Impact Freshess, Deodorant Roll On For Men, 50ml",https://m.media-amazon.com/images/I/51l19NyctDL._AC_UL320_.jpg,https://amazon.in/Nivea-Impact-Freshness-Deodorant-Roll/dp/B07D9GF1NW/ref=sr_1_35?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-35,172,240,4.3,"31,725",  #238 in Beauty     #10 in Deodorant       #10 in Deodorant,57%,26%,10%,3%,4%,https://amazon.in/Nivea-Impact-Freshness-Deodorant-Roll/product-reviews/B07D9GF1NW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Nivea,Roll-on,Woody/masculine,Not Tested On Animals,Not available,1,1 count,50 Millilitres,Whole Body,4.1 x 4.1 x 11 cm; 50 Grams,31 December 2017,"PC Thailand, Beiersdorf (Thailand) Co.Ltd, 163, Bang Plee Industrial Estate, Bangna-Trad Rd, KM 24, Bangsaothong, Samutprakarn 10540, Thailand; Phone: 022 6248 7999",B07D9GF1NW,80031-09815-28,Thailand,"Nivea India Pvt. Ltd., 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070; Phone: 022 6248 7999",50 g,41 x 41 x 110 Millimeters,Dedoarnt Male,Anti-perspirant,Alcohol Free,No,"Nivea India Pvt. Ltd., 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070; Phone: 022 6248 7999",Not available,Not available
"Nike Up Or Down Deodorant For Women, 200ml",https://m.media-amazon.com/images/I/61Pkyr2C3yL._AC_UL320_.jpg,https://amazon.in/Nike-Down-Deodorant-Women-200ml/dp/B00A3M1UFE/ref=sr_1_36?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-36,359,369,4.3,"1,562","  #4,304 in Beauty     #185 in Deodorant       #185 in Deodorant",59%,22%,11%,3%,5%,https://amazon.in/Nike-Down-Deodorant-Women-200ml/product-reviews/B00A3M1UFE/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Nike,Spray,Floral,Not available,Not available,1,200.0 millilitre,200 Millilitres,Not available,18 x 8 x 8 cm; 180 Grams,1 January 2017,Nike,B00A3M1UFE,8414135255655,Spain,Not available,180 g,18 x 8 x 8 Centimeters,Not available,Not available,Not available,No,Not available,Not available,Not available
"Nivea Ice Cool Deodorant For Men, 120ml",https://m.media-amazon.com/images/I/51zNmO4WAtL._AC_UL320_.jpg,https://amazon.in/Nivea-Fresh-Protect-Deodorizer-120ml/dp/B00XHU2ISW/ref=sr_1_37?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-37,250,250,4.2,"5,818",  #841 in Beauty     #35 in Deodorant       #35 in Deodorant,55%,23%,11%,4%,6%,https://amazon.in/Nivea-Fresh-Protect-Deodorizer-120ml/product-reviews/B00XHU2ISW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Nivea,Spray,Ice Cool,Not available,Not available,1,1 count,120 Millilitres,Not available,5.3 x 4.6 x 17.2 cm; 140 Grams,1 January 2017,"Sai Corporation, SAI CORPORATION, Khasra No.353/196/186/1-2, Village Johron, Trillokpur Road, Kala Amb, Dist. Sirmour-173030 (H.P); Phone: 022 6248 7999",B00XHU2ISW,4005900207999,India,"Nivea India Pvt. Ltd., 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070; Phone: 022 6248 7999",140 g,5.3 x 4.6 x 17.2 Centimeters,Dedoarnt Male,Not available,Not available,No,Not available,Not available,Not available
"Dove Go Fresh Deodorant Stick for Unisex, 40 milliliters",https://m.media-amazon.com/images/I/71nS7VHRVRL._AC_UL320_.jpg,https://amazon.in/Dove-Fresh-Cucumber-Antiperspirant-Deodorant/dp/B073TX9XY7/ref=sr_1_38?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-38,324,599,4.3,"1,239","  #1,974 in Beauty     #78 in Deodorant       #78 in Deodorant",60%,21%,10%,5%,5%,https://amazon.in/Dove-Fresh-Cucumber-Antiperspirant-Deodorant/product-reviews/B073TX9XY7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Dove,Roll-on,"Fresh, Cucumber",Not available,Not available,1,40 millilitre,40 Millilitres,Not available,Not available,10 July 2017,Not available,B073TX9XY7,Not available,USA,Not available,70 g,Not available,Not available,Deodorant,Not available,No,Not available,11.7 x 5.6 x 3.2 cm; 70 Grams,1
"Brut Sport Style Deodorant Spray for Men, Long-Lasting Refreshing Body Deo Spray with Athletic Fragrance, Everyday Wear Imported Perfume for Office, Parties, Dates & Outings, 200 ml",https://m.media-amazon.com/images/I/51es+pav2vL._AC_UL320_.jpg,https://amazon.in/BRUT-Deodorant-Sport-Style-200ml/dp/B00F4L86V0/ref=sr_1_39?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-39,182,325,3.8,629,"  #2,391 in Beauty     #105 in Deodorant       #105 in Deodorant",44%,23%,14%,6%,13%,https://amazon.in/BRUT-Deodorant-Sport-Style-200ml/product-reviews/B00F4L86V0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Brut,Spray,Fresh,Not available,Not available,1,1.00 count,600 Millilitres,Whole Body,5.3 x 5.3 x 18 cm; 178 Grams,30 June 2014,"Unilever Ltd, Unilever UK",B00F4L86V0,3731668,United Kingdom,Not available,178 g,5.3 x 5.3 x 18 Centimeters,Not available,Sport Style Deodorant Spray For Men,Not available,No,Not available,Not available,Not available
"Just Herbs Long Lasting, Refreshing Body Spray, Natural Deodorant for Men - Phthalate-Free Formula,150 ml (Musk Divine)",https://m.media-amazon.com/images/I/51hNgqpWXxL._AC_UL320_.jpg,https://amazon.in/Just-Herbs-Lasting-Refreshing-Deodorant/dp/B0BJPNHQ6F/ref=sr_1_40?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-40,198.,325,4.0,356,"  #2,102 in Beauty     #86 in Deodorant       #86 in Deodorant",53%,19%,11%,7%,10%,https://amazon.in/Just-Herbs-Lasting-Refreshing-Deodorant/product-reviews/B0BJPNHQ6F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Just Herbs,Liquid,Amber,Not Tested On Animals,Natural,1,150.0 millilitre,150 Millilitres,Whole Body,4 x 4 x 17 cm; 150 Grams,18 October 2022,"Next Care Inc, Next Care Inc",B0BJPNHQ6F,8906107054354,India,"NEXT CARE INC. PLOT 155, DIC. INDUSTRIAL AREA, BADDI, DISTT. SOLAN, HP-173205. MFG. LIC. NO. HIM/COS/1B/267 | ST. EX. LIC. NO.: BBN-07/2018-19. COUNTRY OF ORIGIN: INDIA.",150 g,40 x 40 x 170 Millimeters,Not available,Deodorant,Phthalate Free,Not available,"Apcos Naturals Pvt Ltd, Apcos Naturals Pvt Ltd, Plot no 202 , Industrial Focal Point, Phase 9 Mohali 160062, 0172 -5027145",Not available,Not available
"KS Woman Desire, Enigma and Sparkle Deodorant Spray - For Women (450 ml, Pack of 3)",https://m.media-amazon.com/images/I/61LcXUQAV6L._AC_UL320_.jpg,https://amazon.in/KS-Desire-Enigma-Sparkle-Deodorant/dp/B0BRSS5TKG/ref=sr_1_41?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-41,235,559,3.9,53,"  #2,191 in Beauty     #94 in Deodorant       #94 in Deodorant",41%,31%,14%,5%,10%,https://amazon.in/KS-Desire-Enigma-Sparkle-Deodorant/product-reviews/B0BRSS5TKG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,KS WOMAN,Aerosol,Fresh,Not available,Not available,3,450.0 millilitre,450 Millilitres,Not available,14.5 x 4.5 x 19.5 cm; 300 Grams,6 January 2023,"A) Suhan Aerosol B) Celine Healh Care Pvt Ltd. C) Primacy Industries Ltd, A) Suhan Aerosol,J/1-8,Radheysham Industrial Complex,Asangaon(W),Tal.Shahapur,District-Thane,Maharashta,Pincode - 421601.Mfg.Lic.No.:M KD/C/450,St.Ex.Lic.No.:92 B)Celine Healh Care Pvt Ltd.,15 SICOP,Industrial Area,Kathua-184102,Jammu & Kashmir. Mfg Lic No : M JK/01/60. State Ex. Lic. in Form 04-JKEL-13 C)Primacy Industries Ltd.,Unit-4,Plot No.7D.Baikampady Ind.Area,Mangaluru-575011,Karnataka,India.Mfg.Lic.No.:M KTK/32/309/2017 D) Aroma De France Block No.324,Near IPCA Laboratory, AT & POST : Ranu, TA : Padra, DIST:Vadodara,Gujarat-391445 Mfg Lic. No. – M GC/942 address.",B0BRSS5TKG,8000002096,India,"A) Suhan Aerosol,J/1-8,Radheysham Industrial Complex,Asangaon(W),Tal.Shahapur,District-Thane,Maharashta,Pincode - 421601.Mfg.Lic.No.:M KD/C/450,St.Ex.Lic.No.:92 B)Celine Healh Care Pvt Ltd.,15 SICOP,Industrial Area,Kathua-184102,Jammu & Kashmir. Mfg Lic No : M JK/01/60. State Ex. Lic. in Form 04-JKEL-13 C)Primacy Industries Ltd.,Unit-4,Plot No.7D.Baikampady Ind.Area,Mangaluru-575011,Karnataka,India.Mfg.Lic.No.:M KTK/32/309/2017 D) Aroma De France Block No.324,Near IPCA Laboratory, AT & POST : Ranu, TA : Padra, DIST:Vadodara,Gujarat-391445 Mfg Lic. No. – M GC/942 address.",300 g,14.5 x 4.5 x 19.5 Centimeters,Not available,Deodorant,Not available,Not available,Not available,Not available,Not available
"The Man Company Body Spray Combo Pack For Men, Active, Legend, Intense & Bold, Long-Lasting Fragrance, Everyday Use Deo, 150ml (Pack Of 4)",https://m.media-amazon.com/images/I/61hOVmQZczL._AC_UL320_.jpg,https://amazon.in/Man-Company-Privilege-Deodorants-150ml/dp/B09RV5XNH3/ref=sr_1_42?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-42,587,996,4.2,"3,385",  #821 in Beauty     #33 in Deodorant       #33 in Deodorant,64%,14%,10%,5%,8%,https://amazon.in/Man-Company-Privilege-Deodorants-150ml/product-reviews/B09RV5XNH3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,The Man Company,Liquid,"Sandalwood, Lavender","Not Tested On Animals, Natural Ingredients",Not available,4,150.0 millilitre,150 Millilitres,Not available,Not available,5 February 2022,Not available,B09RV5XNH3,Not available,India,Not available,760 g,Not available,Not available,Not available,Paraben Free,Not available,Not available,24.3 x 22.1 x 13.9 cm; 760 Grams,TMC-WEB-2324
DENVER Black Code Deo - (150ML) | Long Lasting Deodorant Body Spray for Men,https://m.media-amazon.com/images/I/51WxZVf1gsL._AC_UL320_.jpg,https://amazon.in/Denver-Black-Code-Deodorant-150ml/dp/B00JQ7UPRG/ref=sr_1_43?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-43,130.,220,4.1,595,"  #4,130 in Beauty     #174 in Deodorant       #174 in Deodorant",55%,20%,11%,4%,10%,https://amazon.in/Denver-Black-Code-Deodorant-150ml/product-reviews/B00JQ7UPRG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Denver,Aerosol,Fresh,"All Day Protection, Not Tested On Animals, Scented, Travel Size",Not available,1,150.0 millilitre,150 Millilitres,Whole Body,40.1 x 14.7 x 12.6 cm; 150 Grams,16 April 2014,Vanesa Cosmetics Pvt. Ltd.,B00JQ7UPRG,DEN103,India,Not available,150 g,40.1 x 14.7 x 12.6 Centimeters,Not available,Deodorant,Not available,No,Not available,Not available,Not available
"Enchanteur Gorgeous Roll-On Deodorant, 48 hr odour protection, Anti Perspirant for Women, 50ml (2UE0057)",https://m.media-amazon.com/images/I/61vO4Ev4VmL._AC_UL320_.jpg,https://amazon.in/Enchanteur-Deodorant-protection-Perspirant-2UE0057/dp/B07V51W4NB/ref=sr_1_44?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-44,145,199,4.0,451,"  #2,843 in Beauty     #127 in Deodorant       #127 in Deodorant",47%,25%,15%,5%,8%,https://amazon.in/Enchanteur-Deodorant-protection-Perspirant-2UE0057/product-reviews/B07V51W4NB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Enchanteur,Roll-On,Gorgeous,Not available,Not available,1,50.0 millilitre,50 Millilitres,Not available,3.7 x 3.7 x 11 cm; 50 Grams,2 July 2021,"Wipro Enterprises Pvt Ltd, Wipro Unza Vietnam Company, 7vsip Street 4, Vietnam - Singapore Industrial Park, Thuan An Town, Bing Duong Province, Veitnam",B07V51W4NB,8888202045690,Vietnam,"#8, Wipro House, 80 ft road, Koramangala Bangalore – 560 035",50 g,37 x 37 x 110 Millimeters,Not available,Deo Roll-On,Not available,Not available,"Wipro Unza Vietnam Company, 7vsip Street 4, Vietnam - Singapore Industrial Park, Thuan An Town, Bing Duong Province, Veitnam",Not available,Not available
"Bella Vita Organic Deo White Deodorant For Women Long Lasting 50 ml Roll on Natural Under Arms Skin Whitening and Lightening For Ladies, Aluminium Free",https://m.media-amazon.com/images/I/51iIU65tXvL._AC_UL320_.jpg,https://amazon.in/Bella-Vita-Organic-Whitening-Lightening/dp/B08461YWY2/ref=sr_1_45?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-45,179,199,4.0,"2,156","  #1,530 in Beauty     #2 in Antiperspirant Deodorant   #2 in Antiperspirants   #57 in Deodorant       #2 in Antiperspirant Deodorant #2 in Antiperspirants #57 in Deodorant",49%,24%,13%,7%,8%,https://amazon.in/Bella-Vita-Organic-Whitening-Lightening/product-reviews/B08461YWY2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Bella Vita Organic,Roll-On,Fresh,Organic; Natural Ingredients,Organic,1,75 millilitre,50 Millilitres,Not available,3 x 3 x 12 cm; 50 Grams,23 January 2020,"IDAM Natural Wellness Pvt. Ltd, 417, First Floor, Udyog Vihar Phase 3, Sector 20, Gurugram, 122008 Haryana, India",B08461YWY2,BellaWomenDeoWhite,India,"417, First Floor, Udyog Vihar Phase 3, Sector 20, Gurugram, 122008 Haryana, India",50 g,30 x 30 x 120 Millimeters,Not available,"DeoWhite Under Arm Skin Whitening & Lightening Natural Roll On Deodorant For Women, Girls, Ladie",Aluminum Free,No,Plot No 351 Udyog vihar Phase 2 Gurgaon 122016 Contact:- 9811380380 www.bellavitaorganic.com,Not available,Not available
"Engage Spice Mystique Deodorant for Men, Woody and Leather, Skin Friendly, 150ml",https://m.media-amazon.com/images/I/61n1L5AobYL._AC_UL320_.jpg,https://amazon.in/Engage-Mystique-Deodorant-Leather-Friendly/dp/B08WJQ9B8T/ref=sr_1_46?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-46,140,225,3.7,"1,301","  #3,594 in Beauty     #155 in Deodorant       #155 in Deodorant",40%,24%,17%,8%,12%,https://amazon.in/Engage-Mystique-Deodorant-Leather-Friendly/product-reviews/B08WJQ9B8T/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Engage,Spray,"Spice,Woody",Not available,Not available,1,1 count,150 Millilitres,Not available,4.5 x 20.7 x 20.7 cm; 140 Grams,11 February 2021,"MIDAS-CARE PHARMACEUTICALS PVT. LTD, 1)MIDAS-CARE PHARMACEUTICALS PVT. LTD., LOTUS CORPORATE PARK, 302, ""B"" WING, CTS NO. 185/A , GRAHAM FIRTH COMPOUND, WESTERN EXPRESS HIGHWAY, GOREGAON (EAST), MUMBAI -400 063 Maharashtra AT B-16, MIDC, WALUJ, AURANGABAD - 431136 Maharashtra. MFG. LIC. NO.: M-AD/C-003 ST. EX. LIC. NO.: L-1 8/95-96. 2) M/S. SAI CORPORATION., A-2/494, SECTOR -8, ROHINI, DELHI-110085 AT 353/196/186/1-2, VILLAGE JOHRON, TRILOKPUR ROAD, KALA AMB, DISTRICT SIRMOUR-173030, HIMACHAL PRADESH. M- N-COS/16/43.",B08WJQ9B8T,ENGSPMHIMDEO150,India,"1)MIDAS-CARE PHARMACEUTICALS PVT. LTD., LOTUS CORPORATE PARK, 302, ""B"" WING, CTS NO. 185/A , GRAHAM FIRTH COMPOUND, WESTERN EXPRESS HIGHWAY, GOREGAON (EAST), MUMBAI -400 063 Maharashtra AT B-16, MIDC, WALUJ, AURANGABAD - 431136 Maharashtra. MFG. LIC. NO.: M-AD/C-003 ST. EX. LIC. NO.: L-1 8/95-96. 2) M/S. SAI CORPORATION., A-2/494, SECTOR -8, ROHINI, DELHI-110085 AT 353/196/186/1-2, VILLAGE JOHRON, TRILOKPUR ROAD, KALA AMB, DISTRICT SIRMOUR-173030, HIMACHAL PRADESH. M- N-COS/16/43.",140 g,45 x 207 x 207 Millimeters,Deodorant,"Spice Mystique Deodorant For Men, Woody and Leather, Skin Friendly",Not available,Not available,"1)MIDAS-CARE PHARMACEUTICALS PVT. LTD., LOTUS CORPORATE PARK, 302, ""B"" WING, CTS NO. 185/A , GRAHAM FIRTH COMPOUND, WESTERN EXPRESS HIGHWAY, GOREGAON (EAST), MUMBAI -400 063 Maharashtra AT B-16, MIDC, WALUJ, AURANGABAD - 431136 Maharashtra. MFG. LIC. NO.: M-AD/C-003 ST. EX. LIC. NO.: L-1 8/95-96. 2) M/S. SAI CORPORATION., A-2/494, SECTOR -8, ROHINI, DELHI-110085 AT 353/196/186/1-2, VILLAGE JOHRON, TRILOKPUR ROAD, KALA AMB, DISTRICT SIRMOUR-173030, HIMACHAL PRADESH. M- N-COS/16/43.",Not available,Not available
"Rexona Powder Dry Underarm Roll On Deodorant For Women, Antiperspirant, Removes Odour, Keeps Skin Fresh & Clean, Alcohol Free, Skin Friendly, 50ml",https://m.media-amazon.com/images/I/51WHERsaKuL._AC_UL320_.jpg,https://amazon.in/Rexona-Powder-Underarm-Odour-Protection/dp/B018HSHI7Y/ref=sr_1_47?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-47,139.,150,4.3,"2,441","  #2,231 in Beauty     #97 in Deodorant       #97 in Deodorant",58%,26%,10%,3%,3%,https://amazon.in/Rexona-Powder-Underarm-Odour-Protection/product-reviews/B018HSHI7Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Rexona,Powder,Floral,Not available,Alcohol Free,1,1 count,50 Millilitres,Not available,11.4 x 4.4 x 4.6 cm; 50 Grams,1 January 2017,"Rexona, Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099",B018HSHI7Y,22808,India,Not available,50 g,11.4 x 4.4 x 4.6 Centimeters,Not available,Powder Dry Underarm Roll On Deodorant For Women,Alcohol Free,No,Not available,Not available,Not available
"Caveman Naturals Deodorant | India's 1st Made Safe Certified Natural Deodorant, 50g (Alpine) for Men and Women",https://m.media-amazon.com/images/I/61Qf2xeNqNL._AC_UL320_.jpg,https://amazon.in/Caveman-Naturals-Deodorant-Certified-Natural/dp/B07HLX2PSV/ref=sr_1_48?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-48,549,625,4.1,"1,260","  #3,723 in Beauty     #160 in Deodorant       #160 in Deodorant",56%,21%,11%,3%,8%,https://amazon.in/Caveman-Naturals-Deodorant-Certified-Natural/product-reviews/B07HLX2PSV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Caveman Naturals,Cream,Fresh,Not available,Not available,1,50 gram,Not available,Not available,5.7 x 5.7 x 4.5 cm; 100 Grams,22 September 2018,Caveman Naturals,B07HLX2PSV,Not available,India,Not available,100 g,5.7 x 5.7 x 4.5 Centimeters,Not available,Deodorant,Aluminium free and alcohol free,No,Not available,Not available,DEOMD050
